tissue,cohort,set_name,n_genes_in_set,n_genes_on_platform,unadjusted_mean_delta,wilcoxon_p,retention_D1,retention_joint,status,exclusion_reason
liver,GSE14520,HOSHIDA_LIVER_CANCER_SUBCLASS_S1,235,232,0.2219,5.277155372964945e-08,0.3988,0.7196,included,
liver,GSE14520,HOSHIDA_LIVER_CANCER_SUBCLASS_S2,115,112,0.6457,1.1830823047026439e-32,1.0618,0.9993,included,
liver,GSE14520,HOSHIDA_LIVER_CANCER_SUBCLASS_S3,266,256,-0.7596,5.103775687528626e-33,0.4503,0.4139,included,
liver,GSE14520,HOSHIDA_LIVER_CANCER_SURVIVAL_DN,113,112,-0.2932,1.9713591164130942e-26,0.2562,0.2981,included,
liver,GSE14520,HOSHIDA_LIVER_CANCER_SURVIVAL_UP,73,72,0.0929,0.0015551094237183766,1.172,0.7114,included,
liver,GSE14520,HO_LIVER_CANCER_VASCULAR_INVASION,13,,,,,,excluded,set size 13 outside 15 to 1000
liver,GSE14520,HSIAO_LIVER_SPECIFIC_GENES,247,238,-0.8383,7.236132290777785e-34,0.3451,0.3187,included,
liver,GSE14520,IIZUKA_LIVER_CANCER_EARLY_RECURRENCE,11,,,,,,excluded,set size 11 outside 15 to 1000
liver,GSE14520,IIZUKA_LIVER_CANCER_PROGRESSION_G1_G2_DN,25,25,0.7124,2.6451306237345498e-33,0.9641,1.0108,included,
liver,GSE14520,IIZUKA_LIVER_CANCER_PROGRESSION_G1_G2_UP,12,,,,,,excluded,set size 12 outside 15 to 1000
liver,GSE14520,IIZUKA_LIVER_CANCER_PROGRESSION_G2_G3_DN,9,,,,,,excluded,set size 9 outside 15 to 1000
liver,GSE14520,IIZUKA_LIVER_CANCER_PROGRESSION_G2_G3_UP,27,27,-0.4565,2.253550398345622e-21,0.005,0.0042,included,
liver,GSE14520,IIZUKA_LIVER_CANCER_PROGRESSION_L0_L1_DN,17,17,0.2278,6.626778180970903e-07,0.0294,1.0206,included,
liver,GSE14520,IIZUKA_LIVER_CANCER_PROGRESSION_L0_L1_UP,15,14,-0.0406,0.0531339341175069,,,excluded,no unadjusted paired effect (two-sided Wilcoxon P >= 0.05)
liver,GSE14520,IIZUKA_LIVER_CANCER_PROGRESSION_L1_G1_DN,10,,,,,,excluded,set size 10 outside 15 to 1000
liver,GSE14520,IIZUKA_LIVER_CANCER_PROGRESSION_L1_G1_UP,20,20,-1.0137,9.637682267853121e-36,0.85,0.7833,included,
liver,GSE14520,KAPOSI_LIVER_CANCER_MET_DN,6,,,,,,excluded,set size 6 outside 15 to 1000
liver,GSE14520,KAPOSI_LIVER_CANCER_MET_UP,18,17,0.7532,5.224025095515341e-34,0.6057,0.708,included,
liver,GSE14520,KIM_LIVER_CANCER_POOR_SURVIVAL_DN,43,43,-0.8086,1.3762013048434084e-31,0.2266,0.259,included,
liver,GSE14520,KIM_LIVER_CANCER_POOR_SURVIVAL_UP,22,21,0.3916,6.234866890668996e-12,0.0707,0.4032,included,
liver,GSE14520,KUROKAWA_LIVER_CANCER_EARLY_RECURRENCE_DN,6,,,,,,excluded,set size 6 outside 15 to 1000
liver,GSE14520,KUROKAWA_LIVER_CANCER_EARLY_RECURRENCE_UP,12,,,,,,excluded,set size 12 outside 15 to 1000
liver,GSE14520,LEE_LIVER_CANCER_ACOX1_DN,65,64,-0.6232,1.2977947541136865e-34,0.4835,0.4742,included,
liver,GSE14520,LEE_LIVER_CANCER_ACOX1_UP,65,64,0.0059,0.8839033693867422,,,excluded,no unadjusted paired effect (two-sided Wilcoxon P >= 0.05)
