pool,covariate_mean_paired_shift,median_retention,n_below_50
rising,0.8153,0.4666,69
rising,0.7568,0.6837,51
rising,0.8915,0.3111,89
rising,0.9298,0.5251,57
rising,0.7964,0.5464,52
rising,0.9716,0.4576,72
rising,0.7975,0.5738,51
rising,0.8875,0.3882,84
rising,0.8969,0.5583,57
rising,0.8323,0.5567,55
rising,0.958,0.5182,54
rising,0.7549,0.5199,56
rising,0.795,0.667,45
rising,0.8583,0.532,58
rising,0.823,0.6281,52
rising,0.7972,0.7803,42
rising,0.7617,0.4545,71
rising,0.8648,0.4655,68
rising,0.8136,0.7109,43
rising,0.8185,0.5585,55
rising,0.7531,0.3377,80
rising,0.8488,0.569,56
rising,0.9643,0.6805,47
rising,0.9063,0.5572,54
rising,0.8917,0.2962,89
rising,0.8351,0.6126,51
rising,0.865,0.577,53
rising,0.9958,0.5387,58
rising,0.8958,0.6268,50
rising,0.8275,0.6618,46
rising,0.7513,0.486,66
rising,0.9252,0.4484,73
rising,0.8855,0.5363,55
rising,0.8944,0.7964,46
rising,0.7816,0.5523,54
rising,0.8563,0.3942,85
rising,0.8443,0.4057,84
rising,0.9131,0.4208,75
rising,0.9629,0.5465,56
rising,0.9183,0.3201,88
rising,0.798,0.6779,46
rising,0.9227,0.4825,63
rising,0.9685,0.5212,57
rising,0.8694,0.6581,47
rising,0.8348,0.5722,54
rising,0.9317,0.3992,80
rising,0.9014,0.6119,51
rising,0.8,0.4157,79
rising,0.8303,0.7869,46
rising,0.8443,0.3246,86
rising,0.9162,0.3137,91
rising,0.8437,0.5288,53
rising,0.835,0.5936,54
rising,0.8365,0.4418,78
rising,0.8007,0.4988,60
rising,0.7124,0.372,86
rising,0.9415,0.6851,48
rising,0.8692,0.4158,78
rising,0.8548,0.6754,50
rising,0.8757,0.57,53
rising,0.767,0.4738,62
rising,0.8045,0.5836,52
rising,0.8275,0.5905,51
rising,0.8732,0.5506,50
rising,0.8409,0.325,90
rising,0.8243,0.5053,58
rising,0.9187,0.2961,88
rising,0.894,0.3581,85
rising,0.9112,0.6296,51
rising,0.8324,0.6577,49
rising,0.8763,0.4629,74
rising,0.9254,0.6394,47
rising,0.786,0.5364,50
rising,0.9395,0.4588,70
rising,0.8749,0.4466,75
rising,0.7457,0.7298,41
rising,0.7793,0.6909,46
rising,0.875,0.6309,49
rising,0.8167,0.527,57
rising,0.8106,0.644,50
rising,0.8353,0.4775,63
rising,0.8782,0.5333,55
rising,0.982,0.4645,66
rising,0.9744,0.3639,81
rising,0.888,0.4628,67
rising,0.7959,0.4093,83
rising,0.9205,0.6083,52
rising,0.7745,0.6166,49
unrestricted,-0.2133,1.1048,4
unrestricted,0.2057,0.9147,6
unrestricted,0.058,1.0286,4
unrestricted,-0.31,0.9363,10
unrestricted,0.0911,0.9856,5
unrestricted,0.1076,1.0451,4
unrestricted,-0.0128,1.035,4
unrestricted,0.0364,1.0394,3
unrestricted,0.1703,1.0007,5
unrestricted,0.0502,1.0205,2
unrestricted,0.1874,0.9823,3
unrestricted,-0.0049,1.0376,4
unrestricted,0.2222,0.9248,4
unrestricted,-0.0554,1.0241,4
unrestricted,0.2552,0.9343,8
unrestricted,0.1616,1.0312,3
unrestricted,0.0878,1.0036,3
unrestricted,0.135,0.9021,5
unrestricted,0.1083,0.9841,5
unrestricted,0.2821,0.778,8
unrestricted,0.1771,0.9267,5
unrestricted,0.1713,0.935,4
unrestricted,-0.0616,1.0384,4
unrestricted,-0.0107,1.0358,4
unrestricted,0.2989,0.962,6
unrestricted,0.194,1.0048,4
unrestricted,0.1289,0.9744,3
unrestricted,0.323,0.9025,13
unrestricted,-0.0902,1.0545,4
unrestricted,-0.0303,1.0442,4
unrestricted,0.0962,0.9791,4
unrestricted,0.1293,0.9823,3
unrestricted,0.2629,0.9291,6
unrestricted,-0.2571,0.9306,3
unrestricted,0.0828,1.0186,3
unrestricted,-0.1099,1.052,5
unrestricted,0.2261,1.0811,4
unrestricted,0.2315,0.8718,9
unrestricted,0.2384,1.0308,9
unrestricted,0.2054,1.0037,6
