signature,n_genes_on_platform,unadjusted_mean_delta,retention_joint_D1,retention_joint_quadratic,retention_random_matched_median,retention_random_matched_p2_5,retention_random_matched_p97_5
LEE_LIVER_CANCER_E2F1_UP,62,0.1591,1.3528,1.3128,1.8175,1.6672,1.9853
LEE_LIVER_CANCER_HEPATOBLAST,16,-0.2308,1.4833,1.5126,1.3797,1.1195,1.6508
LEE_LIVER_CANCER_MYC_DN,59,-0.4278,0.406,0.3792,0.2878,0.1807,0.411
LEE_LIVER_CANCER_MYC_E2F1_DN,63,-0.6441,0.4989,0.463,0.3829,0.2969,0.4887
LEE_LIVER_CANCER_MYC_E2F1_UP,55,0.3262,1.0955,1.0913,1.1996,1.133,1.2581
LEE_LIVER_CANCER_MYC_TGFA_DN,64,-0.5813,0.4792,0.4283,0.3287,0.245,0.4387
LEE_LIVER_CANCER_MYC_TGFA_UP,59,0.1142,0.8044,0.7074,1.2324,1.0397,1.4071
LEE_LIVER_CANCER_MYC_UP,54,0.3148,1.0828,1.0801,1.3008,1.1921,1.4004
LEE_LIVER_CANCER_SURVIVAL_DN,151,0.8898,0.7819,0.7396,0.7802,0.7109,0.8608
LEE_LIVER_CANCER_SURVIVAL_UP,159,-0.7202,0.3882,0.3207,0.1826,0.0757,0.3195
MARTORIATI_MDM4_TARGETS_FETAL_LIVER_DN,450,0.221,1.0733,1.0369,1.2144,1.1173,1.3792
MARTORIATI_MDM4_TARGETS_FETAL_LIVER_UP,176,0.1533,0.6654,0.6665,1.0163,0.8636,1.205
MIDORIKAWA_AMPLIFIED_IN_LIVER_CANCER,36,0.2792,0.9047,0.9043,1.0125,0.9242,1.1361
MINGUEZ_LIVER_CANCER_VASCULAR_INVASION_DN,18,-1.1282,0.5118,0.4613,0.3927,0.3047,0.491
NABA_MATRISOME_METASTATIC_COLORECTAL_LIVER_METASTASIS,26,-0.0943,0.891,1.0871,0.8056,0.5048,1.1008
OHGUCHI_LIVER_HNF4A_TARGETS_DN,126,-0.684,0.4753,0.4394,0.3916,0.3081,0.503
OHGUCHI_LIVER_HNF4A_TARGETS_UP,40,-0.4195,0.6665,0.569,0.5676,0.5058,0.6481
PATIL_LIVER_CANCER,550,0.9262,0.8926,0.8619,0.8861,0.8513,0.9295
ROESSLER_LIVER_CANCER_METASTASIS_DN,42,0.3329,0.8481,0.798,0.9032,0.8142,1.0066
ROESSLER_LIVER_CANCER_METASTASIS_UP,104,0.0559,0.2468,0.2832,0.1702,0.0073,0.4941
SAKAI_CHRONIC_HEPATITIS_VS_LIVER_CANCER_DN,33,-0.2568,1.1705,1.1541,1.5528,1.4412,1.6753
SAKAI_CHRONIC_HEPATITIS_VS_LIVER_CANCER_UP,78,0.4979,1.0333,1.0342,1.2652,1.1741,1.3808
SERVITJA_LIVER_HNF1A_TARGETS_DN,137,-0.4761,0.5311,0.4902,0.4608,0.3819,0.5646
SERVITJA_LIVER_HNF1A_TARGETS_UP,111,0.1775,0.9513,0.9896,1.1193,0.9849,1.2128
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM1,206,0.3175,0.7752,0.7338,0.8048,0.7253,0.8773
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM2,139,0.2649,0.8413,0.7986,0.8039,0.7183,0.8771
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM3,65,0.2273,0.9179,0.8598,0.8259,0.7413,0.902
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM4,240,-0.4215,0.5947,0.5379,0.4279,0.3551,0.5163
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM6,45,0.1038,0.6267,0.6103,0.5472,0.3401,0.6931
SMITH_LIVER_CANCER,46,0.7102,1.1624,1.1661,1.3371,1.2878,1.3934
SU_LIVER,57,-0.9451,0.4346,0.3938,0.3593,0.2588,0.4715
VILLANUEVA_LIVER_CANCER_KRT19_DN,51,-0.7729,0.5326,0.4608,0.2776,0.1913,0.3854
VILLANUEVA_LIVER_CANCER_KRT19_UP,138,0.777,0.7174,0.6696,0.5569,0.4852,0.6434
WANG_RECURRENT_LIVER_CANCER_DN,14,-0.5923,0.2682,0.2101,0.0465,0.0017,0.1676
WANG_RECURRENT_LIVER_CANCER_UP,18,0.6991,0.8942,0.8812,0.9932,0.9228,1.0617
WENG_POR_TARGETS_LIVER_DN,21,-0.6226,0.627,0.5638,0.4936,0.4119,0.5908
WOO_LIVER_CANCER_RECURRENCE_DN,78,-0.9234,0.4517,0.3925,0.2897,0.1903,0.4068
WOO_LIVER_CANCER_RECURRENCE_UP,103,0.1949,0.0613,0.0926,0.1185,0.0081,0.3354
YAMASHITA_LIVER_CANCER_STEM_CELL_DN,71,-0.6838,0.4232,0.3602,0.2814,0.1814,0.3988
YAMASHITA_LIVER_CANCER_STEM_CELL_UP,45,0.1662,0.7929,0.7379,0.7938,0.6579,1.0747
YAMASHITA_LIVER_CANCER_WITH_EPCAM_DN,12,-0.5792,0.1936,0.1225,0.0757,0.0064,0.25
YAMASHITA_LIVER_CANCER_WITH_EPCAM_UP,51,0.7662,0.8378,0.7844,0.8508,0.7603,0.9621
