signature,n_genes,n_on_platform,unadjusted_mean_delta,wilcoxon_p,retention_identity_D1,retention_composition_C1,retention_joint,below50_identity,below50_composition,switches_side,joint_intercept,sign_reverses,ratio_unstable
DESERT_PERIVENOUS_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP,155,155,0.203,0.0175,1.2284,0.6817,0.8555,0,0,0,+0.1737,0,0
DESERT_STEM_CELL_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP,242,238,0.5274,1.48e-07,0.538,1.192,0.6826,0,0,0,+0.3600,0,0
HOSHIDA_LIVER_CANCER_LATE_RECURRENCE_DN,70,70,-0.3106,3.41e-08,0.7544,1.2045,0.9698,0,0,0,-0.3012,0,0
HOSHIDA_LIVER_CANCER_SUBCLASS_S2,115,113,0.3624,3.06e-09,1.0382,0.8815,0.8876,0,0,0,+0.3217,0,0
HOSHIDA_LIVER_CANCER_SUBCLASS_S3,266,266,-0.5902,6.96e-09,0.4929,1.1157,0.5235,1,0,1,-0.3090,0,0
HOSHIDA_LIVER_CANCER_SURVIVAL_DN,113,113,-0.3079,1.26e-08,0.5193,1.2384,0.7223,0,0,0,-0.2224,0,0
HOSHIDA_LIVER_CANCER_SURVIVAL_UP,73,72,-0.123,0.0269,1.8039,0.61,0.17,0,0,0,+0.0209,1,0
HSIAO_LIVER_SPECIFIC_GENES,247,246,-0.6509,1.07e-08,0.4276,1.1065,0.4296,1,0,1,-0.2796,0,0
IIZUKA_LIVER_CANCER_PROGRESSION_G1_G2_DN,25,25,0.3845,5.42e-08,0.808,0.8748,0.5913,0,0,0,+0.2274,0,0
IIZUKA_LIVER_CANCER_PROGRESSION_G2_G3_UP,27,27,-0.2233,0.00123,0.3368,1.699,0.2763,1,0,1,-0.0617,0,0
IIZUKA_LIVER_CANCER_PROGRESSION_L0_L1_UP,15,14,0.1842,0.000175,0.9821,0.9197,0.8692,0,0,0,+0.1601,0,0
IIZUKA_LIVER_CANCER_PROGRESSION_L1_G1_UP,20,20,-0.8755,1.05e-09,0.8139,0.9262,0.6682,0,0,0,-0.5850,0,0
KAPOSI_LIVER_CANCER_MET_UP,18,17,0.4342,8.36e-07,0.3393,1.3409,0.6357,1,0,1,+0.2760,0,0
KIM_LIVER_CANCER_POOR_SURVIVAL_DN,43,43,-0.6409,1.82e-08,0.2945,1.1558,0.33,1,0,1,-0.2115,0,0
LEE_LIVER_CANCER_ACOX1_DN,65,65,-0.549,1.26e-08,0.4767,1.1228,0.5129,1,0,1,-0.2816,0,0
LEE_LIVER_CANCER_ACOX1_UP,65,62,-0.1143,0.00805,1.682,0.0289,0.4621,0,1,1,-0.0528,0,0
LEE_LIVER_CANCER_CIPROFIBRATE_DN,66,66,-0.3217,3.41e-08,0.355,1.2032,0.4693,1,0,1,-0.1510,0,0
LEE_LIVER_CANCER_CIPROFIBRATE_UP,60,59,-0.1413,0.000539,1.4303,0.2548,0.5308,0,1,1,-0.0750,0,0
LEE_LIVER_CANCER_DENA_DN,74,74,-0.4839,1.01e-08,0.4592,1.1272,0.4968,1,0,1,-0.2404,0,0
LEE_LIVER_CANCER_E2F1_DN,64,64,-0.3706,7.34e-09,0.5418,1.1159,0.5849,0,0,0,-0.2168,0,0
