signature,n_genes,unadjusted_mean_delta,retention_identity_D1,retention_composition_C1,retention_joint,ci95_lo,ci95_hi,joint_intercept,sign_reverses,ratio_unstable
NABA_MATRISOME_METASTATIC_COLORECTAL_LIVER_METASTASIS,30,0.345,0.5344,0.5217,0.5194,0.2285,1.0803,+0.1792,0,0
OHGUCHI_LIVER_HNF4A_TARGETS_DN,170,-0.242,0.0384,0.7955,0.0409,0.0042,0.54,-0.0099,0,0
PATIL_LIVER_CANCER,660,1.225,0.9707,0.9395,0.9685,0.8754,1.0813,+1.1864,0,0
ROESSLER_LIVER_CANCER_METASTASIS_DN,51,0.757,0.8806,0.8503,0.8756,0.7019,1.1406,+0.6628,0,0
ROESSLER_LIVER_CANCER_METASTASIS_UP,106,0.6273,0.8464,0.8341,0.841,0.6713,1.0818,+0.5275,0,0
SAKAI_CHRONIC_HEPATITIS_VS_LIVER_CANCER_DN,36,0.3234,0.6252,0.6289,0.6135,0.3503,1.1263,+0.1984,0,0
SAKAI_CHRONIC_HEPATITIS_VS_LIVER_CANCER_UP,82,0.828,0.9711,0.8849,0.9665,0.8193,1.1868,+0.8003,0,0
SERVITJA_LIVER_HNF1A_TARGETS_UP,138,0.4791,1.0007,0.888,0.9959,0.8656,1.1897,+0.4771,0,0
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM1,260,0.7225,0.8731,0.8591,0.8685,0.7177,1.0668,+0.6275,0,0
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM2,168,0.6166,0.8581,0.828,0.8523,0.6963,1.0833,+0.5255,0,0
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM3,75,0.4926,0.8668,0.817,0.8605,0.6857,1.1311,+0.4239,0,0
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM4,288,0.1239,1.4879,0.7415,1.4709,1.0182,4.3412,+0.1823,0,0
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM5,111,0.4333,0.7828,0.7648,0.7752,0.5646,1.1172,+0.3359,0,0
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM6,55,0.6459,0.8965,0.8452,0.8909,0.7177,1.1608,+0.5754,0,0
SMITH_LIVER_CANCER,47,0.9414,1.1357,1.0033,1.1343,1.041,1.2673,+1.0679,0,0
SU_LIVER,58,-0.5547,0.3418,0.8206,0.3416,0.2001,0.4717,-0.1895,0,0
VILLANUEVA_LIVER_CANCER_KRT19_UP,175,1.0788,0.943,0.9135,0.9399,0.8163,1.1032,+1.0140,0,0
WANG_RECURRENT_LIVER_CANCER_UP,20,1.0899,0.9217,0.9242,0.9194,0.749,1.0802,+1.0020,0,0
WENG_POR_TARGETS_LIVER_DN,23,-0.2778,0.5319,0.939,0.5348,0.176,0.6949,-0.1486,0,0
WENG_POR_TARGETS_LIVER_UP,44,0.1504,1.8986,1.1186,1.8933,1.3448,5.8734,+0.2847,0,0
WOO_LIVER_CANCER_RECURRENCE_DN,78,-0.3691,0.0601,0.7004,0.058,0.007,0.5166,-0.0214,0,0
WOO_LIVER_CANCER_RECURRENCE_UP,105,0.5704,0.533,0.6326,0.5225,0.2966,0.8544,+0.2980,0,0
YAMASHITA_LIVER_CANCER_STEM_CELL_DN,76,-0.2835,0.2197,0.8814,0.224,0.0104,0.4806,-0.0635,0,0
YAMASHITA_LIVER_CANCER_STEM_CELL_UP,47,0.5388,0.9024,0.8315,0.8962,0.6755,1.2046,+0.4829,0,0
YAMASHITA_LIVER_CANCER_WITH_EPCAM_UP,53,0.8919,0.8943,0.8913,0.8909,0.7194,1.061,+0.7946,0,0
