name,retention_joint,HR_unadj,p_unadj,q_unadj,HR_adj,p_adj,surviving_fraction
HOSHIDA_LIVER_CANCER_SUBCLASS_S2,1.0245,1.313,0.0028772845499830334,0.005699236704774086,1.3273,0.0013038885984591217,1.0396
HOSHIDA_LIVER_CANCER_SUBCLASS_S3,0.1757,0.8504,0.03249556159539892,0.0434680888873518,0.8508,0.26162578555898824,0.9966
HOSHIDA_LIVER_CANCER_SURVIVAL_DN,1.6045,1.1241,0.1870422402780647,0.21444692920718292,1.3313,0.00428291513979286,2.446
HOSHIDA_LIVER_CANCER_SURVIVAL_UP,0.6184,1.2035,0.034783711450024825,0.04593233691477637,1.1653,0.0921072381819567,0.826
HSIAO_LIVER_SPECIFIC_GENES,0.2487,0.853,0.01781471462732072,0.025843881783296253,0.6006,0.04944766019605605,3.2069
IIZUKA_LIVER_CANCER_PROGRESSION_G1_G2_DN,0.9856,1.4338,0.00016208873709046016,0.0008347569960158698,1.4127,0.00017639764145406848,0.9587
IIZUKA_LIVER_CANCER_PROGRESSION_L0_L1_DN,0.7134,1.2626,0.007547094885003916,0.011778042017506112,1.2299,0.04207787271904488,0.8877
IIZUKA_LIVER_CANCER_PROGRESSION_L0_L1_UP,0.9835,1.3231,0.0025984312886720997,0.005495781610591787,1.3149,0.002626420039219233,0.9777
IIZUKA_LIVER_CANCER_PROGRESSION_L1_G1_UP,0.8813,1.039,0.6429570294017422,0.6689350911957519,1.0957,0.294382860743439,2.3858
KAPOSI_LIVER_CANCER_MET_UP,0.7971,1.4935,3.9695528616282664e-06,4.015645457336852e-05,1.5087,4.388995497053837e-05,1.0252
KIM_LIVER_CANCER_POOR_SURVIVAL_DN,0.1664,0.8463,0.021361591709771397,0.030558943695922974,0.792,0.16411042558539737,1.3979
KIM_LIVER_CANCER_POOR_SURVIVAL_UP,0.4886,1.4264,3.1400990012585486e-05,0.00019025305713507676,1.4298,0.00023627377558831957,1.0068
LEE_LIVER_CANCER_ACOX1_UP,0.7933,1.3667,0.000522356501897116,0.0017934239898467648,1.3394,0.001199667642171481,0.9354
LEE_LIVER_CANCER_CIPROFIBRATE_UP,0.924,1.2962,0.0048500655622844,0.008606366205922271,1.3153,0.002814050884095809,1.0563
LEE_LIVER_CANCER_DENA_DN,0.0573,0.857,0.04742559649882928,0.05957117608999287,0.8828,0.3903389219794656,0.8081
LEE_LIVER_CANCER_DENA_UP,0.7508,1.3626,0.00044336405335923594,0.0016309463391429037,1.3321,0.0015940560190522343,0.9269
LEE_LIVER_CANCER_E2F1_UP,0.8874,1.2724,0.0069036514999065764,0.011110564132662147,1.2596,0.008049067291780175,0.958
LEE_LIVER_CANCER_MYC_E2F1_DN,0.0115,0.9224,0.2903796607072842,0.3181819686473434,1.1309,0.39972210658823837,1.5224
LEE_LIVER_CANCER_MYC_E2F1_UP,0.8715,1.3186,0.0019793539546177834,0.004530521273902926,1.2927,0.0037465585974871063,0.9283
LEE_LIVER_CANCER_MYC_TGFA_DN,0.3116,0.928,0.35380380127923655,0.37960199512251425,1.1641,0.3114931985132516,2.0318
LEE_LIVER_CANCER_MYC_TGFA_UP,0.8444,1.3771,0.00037148166432212027,0.0014677197304117982,1.3439,0.0010833091327757183,0.9239
LEE_LIVER_CANCER_MYC_UP,0.9854,1.357,0.0011960268380050438,0.0030046527881590125,1.3326,0.0017073700790967137,0.9408
LEE_LIVER_CANCER_SURVIVAL_DN,0.8817,1.5314,1.848719350926251e-06,2.3802261643175482e-05,1.5188,2.2832537195309003e-05,0.9806
LIU_LIVER_CANCER,0.9408,1.2441,0.016481796559785405,0.02425178636654138,1.2426,0.014368649549613297,0.9943
MARTORIATI_MDM4_TARGETS_FETAL_LIVER_DN,0.9361,1.3302,0.0022844181304062933,0.005006278030464855,1.314,0.002562771117786692,0.957
MARTORIATI_MDM4_TARGETS_FETAL_LIVER_UP,0.8752,1.4778,1.8384598983439727e-05,0.00014566259194571476,1.4477,0.0001251674039419526,0.9472
MIDORIKAWA_AMPLIFIED_IN_LIVER_CANCER,0.8613,1.397,0.00018535263439631362,0.0009091105401343002,1.3637,0.0007619980757887079,0.9278
MINGUEZ_LIVER_CANCER_VASCULAR_INVASION_DN,0.5778,0.7741,0.001002759093858986,0.0027180049123019887,0.7182,0.004446654445270308,1.2927
NABA_MATRISOME_METASTATIC_COLORECTAL_LIVER_METASTASIS,0.5194,1.1753,0.06698043189142108,0.08312029499778761,1.1445,0.12915499147840634,0.8357
