set_name	n_genes_downloaded	n_genes_stated_on_site	match	first_author	year	pmid	status
BOYAULT_LIVER_CANCER_SUBCLASS_G3_DN	52	52	yes	Boyault	2006	17187432	ok
BOYAULT_LIVER_CANCER_SUBCLASS_G3_UP	189	189	yes	Boyault	2006	17187432	ok
BOYAULT_LIVER_CANCER_SUBCLASS_G56_DN	17	17	yes	Boyault	2006	17187432	ok
BOYAULT_LIVER_CANCER_SUBCLASS_G56_UP	12	12	yes	Boyault	2006	17187432	ok
BOYAULT_LIVER_CANCER_SUBCLASS_G5_DN	28	28	yes	Boyault	2006	17187432	ok
BOYAULT_LIVER_CANCER_SUBCLASS_G6_DN	19	19	yes	Boyault	2006	17187432	ok
BOYAULT_LIVER_CANCER_SUBCLASS_G6_UP	66	66	yes	Boyault	2006	17187432	ok
BREUHAHN_GROWTH_FACTOR_SIGNALING_IN_LIVER_CANCER	15	15	yes	Breuhahn	2006	16799620	ok
CAIRO_HEPATOBLASTOMA_CLASSES_DN	214	214	yes	Cairo	2008	19061838	ok
CAIRO_HEPATOBLASTOMA_CLASSES_UP	609	609	yes	Cairo	2008	19061838	ok
CAIRO_HEPATOBLASTOMA_DN	267	267	yes	Cairo	2008	19061838	ok
CAIRO_HEPATOBLASTOMA_POOR_SURVIVAL	16	16	yes	Cairo	2008	19061838	ok
CAIRO_HEPATOBLASTOMA_UP	213	213	yes	Cairo	2008	19061838	ok
CAIRO_LIVER_DEVELOPMENT_DN	225	225	yes	Cairo	2008	19061838	ok
CAIRO_LIVER_DEVELOPMENT_UP	166	166	yes	Cairo	2008	19061838	ok
CARRILLOREIXACH_14Q32OVEREXPRESSION_IN_HEPATOBLASTOMA	48	48	yes	Carrillo-Reixach	2020	32240714	ok
CARRILLOREIXACH_HEPATOBLASTOMA_VS_NORMAL_DN	1256	1256	yes	Carrillo-Reixach	2020	32240714	ok
CARRILLOREIXACH_HEPATOBLASTOMA_VS_NORMAL_HYPERMETHYLATED_AND_DN	21	21	yes	Carrillo-Reixach	2020	32240714	ok
CARRILLOREIXACH_HEPATOBLASTOMA_VS_NORMAL_HYPOMETHYLATED_AND_UP	162	162	yes	Carrillo-Reixach	2020	32240714	ok
CARRILLOREIXACH_HEPATOBLASTOMA_VS_NORMAL_UP	891	891	yes	Carrillo-Reixach	2020	32240714	ok
CARRILLOREIXACH_MRS3_VS_LOWER_RISK_HEPATOBLASTOMA_DN	168	168	yes	Carrillo-Reixach	2020	32240714	ok
CARRILLOREIXACH_MRS3_VS_LOWER_RISK_HEPATOBLASTOMA_UP	51	51	yes	Carrillo-Reixach	2020	32240714	ok
CAVARD_LIVER_CANCER_MALIGNANT_VS_BENIGN	32	32	yes	Cavard	2005	16314847	ok
CHEN_LIVER_METABOLISM_QTL_CIS	95	NA	na	Chen	2008	18344982	ok
CHIANG_LIVER_CANCER_SUBCLASS_CTNNB1_DN	170	170	yes	Chiang	2008	18701503	ok
CHIANG_LIVER_CANCER_SUBCLASS_CTNNB1_UP	175	175	yes	Chiang	2008	18701503	ok
CHIANG_LIVER_CANCER_SUBCLASS_INTERFERON_DN	52	52	yes	Chiang	2008	18701503	ok
CHIANG_LIVER_CANCER_SUBCLASS_INTERFERON_UP	26	26	yes	Chiang	2008	18701503	ok
CHIANG_LIVER_CANCER_SUBCLASS_POLYSOMY7_DN	25	25	yes	Chiang	2008	18701503	ok
CHIANG_LIVER_CANCER_SUBCLASS_POLYSOMY7_UP	79	79	yes	Chiang	2008	18701503	ok
CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_DN	179	179	yes	Chiang	2008	18701503	ok
CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_UP	179	179	yes	Chiang	2008	18701503	ok
CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_DN	194	194	yes	Chiang	2008	18701503	ok
CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_UP	86	86	yes	Chiang	2008	18701503	ok
DESERT_EXTRACELLULAR_MATRIX_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP	22	22	yes	Desert	2017	28498607	ok
DESERT_PERIPORTAL_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP	159	159	yes	Desert	2017	28498607	ok
DESERT_PERIVENOUS_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP	155	155	yes	Desert	2017	28498607	ok
DESERT_STEM_CELL_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP	242	242	yes	Desert	2017	28498607	ok
FUJIWARA_PARK2_HEPATOCYTE_PROLIFERATION_DN	9	9	yes	Fujiwara	2008	18574468	ok
FUJIWARA_PARK2_HEPATOCYTE_PROLIFERATION_UP	11	11	yes	Fujiwara	2008	18574468	ok
FUJIWARA_PARK2_IN_LIVER_CANCER_DN	6	6	yes	Fujiwara	2008	18574468	ok
FUJIWARA_PARK2_IN_LIVER_CANCER_UP	8	8	yes	Fujiwara	2008	18574468	ok
HEBERT_MATRISOME_TNBC_BONE_BRAIN_LIVER_LUNG_METASTASTASES	13	13	yes	Hebert	2020	32019869	ok
HEBERT_MATRISOME_TNBC_BONE_BRAIN_LUNG_LIVER_METASTASTASES_TUMOR_CELL_DERIVED	7	7	yes	Hebert	2020	32019869	ok
HEBERT_MATRISOME_TNBC_LIVER_METASTASIS	14	14	yes	Hebert	2020	32019869	ok
HOSHIDA_LIVER_CANCER_LATE_RECURRENCE_DN	70	70	yes	Hoshida	2008	18923165	ok
HOSHIDA_LIVER_CANCER_LATE_RECURRENCE_UP	62	62	yes	Hoshida	2008	18923165	ok
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	235	235	yes	Hoshida	2009	19723656	ok
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	115	115	yes	Hoshida	2009	19723656	ok
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	266	266	yes	Hoshida	2009	19723656	ok
HOSHIDA_LIVER_CANCER_SURVIVAL_DN	113	113	yes	Hoshida	2008	18923165	ok
HOSHIDA_LIVER_CANCER_SURVIVAL_UP	73	73	yes	Hoshida	2008	18923165	ok
HO_LIVER_CANCER_VASCULAR_INVASION	13	13	yes	Ho	2006	17009164	ok
HSIAO_LIVER_SPECIFIC_GENES	247	247	yes	Hsiao	2001	11773596	ok
IIZUKA_LIVER_CANCER_EARLY_RECURRENCE	11	11	yes	Iizuka	2003	12648972	ok
IIZUKA_LIVER_CANCER_PROGRESSION_G1_G2_DN	25	25	yes	Iizuka	2005	15710396	ok
IIZUKA_LIVER_CANCER_PROGRESSION_G1_G2_UP	12	12	yes	Iizuka	2005	15710396	ok
IIZUKA_LIVER_CANCER_PROGRESSION_G2_G3_DN	9	9	yes	Iizuka	2005	15710396	ok
IIZUKA_LIVER_CANCER_PROGRESSION_G2_G3_UP	27	27	yes	Iizuka	2005	15710396	ok
IIZUKA_LIVER_CANCER_PROGRESSION_L0_L1_DN	17	17	yes	Iizuka	2005	15710396	ok
