gene	spearman	p	q
RBM8A	0.559694	<5.33E-54	<9.64E-54
C2orf76	0.559568	<5.33E-54	<9.64E-54
ZCCHC8	0.559282	<5.33E-54	<9.64E-54
APOE	0.559258	<5.33E-54	<9.64E-54
PWP1	0.559183	<5.33E-54	<9.64E-54
CERS4	0.559156	<5.33E-54	<9.64E-54
FILIP1L	0.559115	<5.33E-54	<9.64E-54
CPNE2	0.559079	<5.33E-54	<9.64E-54
EXOC1	0.558944	<5.33E-54	<9.64E-54
TCF20	0.558765	<5.33E-54	<9.64E-54
KHNYN	0.558688	<5.33E-54	<9.64E-54
GYG1	0.558646	<5.33E-54	<9.64E-54
ANKRD28	0.558491	<5.33E-54	<9.64E-54
COX15	0.558371	<5.33E-54	<9.64E-54
MTRF1	0.558267	<5.33E-54	<9.64E-54
NMT1	0.55818	<5.33E-54	<9.64E-54
AIDA	0.558088	<5.33E-54	<9.64E-54
YY1	0.558085	<5.33E-54	<9.64E-54
LYPLA2	0.557935	<5.33E-54	<9.64E-54
PARD6B	0.557867	<5.33E-54	<9.64E-54
TMEM68	0.557852	<5.33E-54	<9.64E-54
COPRS	0.557825	<5.33E-54	<9.64E-54
TBC1D9B	0.557753	<5.33E-54	<9.64E-54
LRPAP1	0.557723	<5.33E-54	<9.64E-54
CYCS	0.557699	<5.33E-54	<9.64E-54
NUP210	0.557667	<5.33E-54	<9.64E-54
CEBPB	0.557628	<5.33E-54	<9.64E-54
TERF2IP	0.557556	<5.33E-54	<9.64E-54
RNF139	0.557314	<5.33E-54	<9.64E-54
A1BG	0.557281	<5.33E-54	<9.64E-54
STRN4	0.557189	<5.33E-54	<9.64E-54
CISD1	0.557168	<5.33E-54	<9.64E-54
CASKIN2	0.557165	<5.33E-54	<9.64E-54
C3	0.557055	<5.33E-54	<9.64E-54
LYSMD3	0.556968	<5.33E-54	<9.64E-54
SMAD2	0.556834	<5.33E-54	<9.64E-54
HMCN1	0.556693	<5.33E-54	<9.64E-54
NUB1	0.55666	<5.33E-54	<9.64E-54
UBLCP1	0.556535	<5.33E-54	<9.64E-54
DNM1L	0.556308	<5.33E-54	<9.64E-54
LTBP4	0.556108	<5.33E-54	<9.64E-54
RRAS	0.555902	<5.33E-54	<9.64E-54
NEK9	0.55572	<5.33E-54	<9.64E-54
TTC7A	0.555717	<5.33E-54	<9.64E-54
R3HCC1	0.555666	<5.33E-54	<9.64E-54
CDKN2C	0.55521	<5.33E-54	<9.64E-54
CD276	0.555174	<5.33E-54	<9.64E-54
VPS4B	0.555165	<5.33E-54	<9.64E-54
C2CD2	0.55512	<5.33E-54	<9.64E-54
HGSNAT	0.555042	<5.33E-54	<9.64E-54
TUBB6	0.554878	<5.33E-54	<9.64E-54
ABHD4	0.554798	<5.33E-54	<9.64E-54
LIN7A	0.554774	<5.33E-54	<9.64E-54
IFT27	0.554636	<5.33E-54	<9.64E-54
KRT8	0.554541	<5.33E-54	<9.64E-54
COQ7	0.554511	<5.33E-54	<9.64E-54
FOLH1	0.554421	<5.33E-54	<9.64E-54
HERC4	0.554409	<5.33E-54	<9.64E-54
FHL3	0.554305	<5.33E-54	<9.64E-54
SLC2A13	0.554266	<5.33E-54	<9.64E-54
TM7SF3	0.554114	<5.33E-54	<9.64E-54
MFN2	0.553812	<5.33E-54	<9.64E-54
CCDC51	0.553669	<5.33E-54	<9.64E-54
PPP1CC	0.553654	<5.33E-54	<9.64E-54
RAB33B	0.553588	<5.33E-54	<9.64E-54
PCMT1	0.553374	<5.33E-54	<9.64E-54
TMEM70	0.553341	<5.33E-54	<9.64E-54
PPP1R9B	0.553281	<5.33E-54	<9.64E-54
PPP2R5D	0.553185	<5.33E-54	<9.64E-54
FBXL8	0.55315	<5.33E-54	<9.64E-54
MIF	0.552982	<5.33E-54	<9.64E-54
NELFA	0.552973	<5.33E-54	<9.64E-54
PPIL3	0.552776	<5.33E-54	<9.64E-54
RRM1	0.552776	<5.33E-54	<9.64E-54
TTC5	0.552744	<5.33E-54	<9.64E-54
FXR1	0.552705	<5.33E-54	<9.64E-54
CUL4A	0.552633	<5.33E-54	<9.64E-54
LARS	0.552454	<5.33E-54	<9.64E-54
UCHL3	0.552448	<5.33E-54	<9.64E-54
XPNPEP3	0.552373	<5.33E-54	<9.64E-54
DNAJC21	0.552293	<5.33E-54	<9.64E-54
PTBP3	0.55223	<5.33E-54	<9.64E-54
HNRNPDL	0.552147	<5.33E-54	<9.64E-54
ARHGEF1	0.552111	<5.33E-54	<9.64E-54
SH3PXD2B	0.552072	<5.33E-54	<9.64E-54
BPTF	0.551958	<5.33E-54	<9.64E-54
POLDIP3	0.551878	<5.33E-54	<9.64E-54
FARS2	0.551708	<5.33E-54	<9.64E-54
ACSF3	0.551699	<5.33E-54	<9.64E-54
TPR	0.551543	<5.33E-54	<9.64E-54
DDHD2	0.55143	<5.33E-54	<9.64E-54
JMJD7	0.551334	<5.33E-54	<9.64E-54
ITIH4	0.551224	<5.33E-54	<9.64E-54
UBQLN2	0.551173	<5.33E-54	<9.64E-54
RTN4IP1	0.551054	<5.33E-54	<9.64E-54
LLGL2	0.551051	<5.33E-54	<9.64E-54
INPP5K	0.551027	<5.33E-54	<9.64E-54
SPG21	0.550994	<5.33E-54	<9.64E-54
NPC2	0.550908	<5.33E-54	<9.64E-54
PLIN4	0.550725	<5.33E-54	<9.64E-54
FKBP15	0.550696	<5.33E-54	<9.64E-54
SMCHD1	0.550624	<5.33E-54	<9.64E-54
FBXO22	0.550564	<5.33E-54	<9.64E-54
GSTZ1	0.550555	<5.33E-54	<9.64E-54
HEXB	0.550409	<5.33E-54	<9.64E-54
PPP3CA	0.550394	<5.33E-54	<9.64E-54
C1orf43	0.550373	<5.33E-54	<9.64E-54
CNNM3	0.550349	<5.33E-54	<9.64E-54
UROS	0.550251	<5.33E-54	<9.64E-54
HYAL1	0.549737	<5.33E-54	<9.64E-54
BYSL	0.549663	<5.33E-54	<9.64E-54
TMX2	0.549275	<5.33E-54	<9.64E-54
GALNT4	0.549245	6.55e-14	1.16e-13
CDAN1	0.549194	<5.33E-54	<9.64E-54
TRIP12	0.549116	<5.33E-54	<9.64E-54
ARAF	0.5490120000000001	<5.33E-54	<9.64E-54
KDSR	0.548952	<5.33E-54	<9.64E-54
TBC1D15	0.548779	<5.33E-54	<9.64E-54
UBE3C	0.54871	<5.33E-54	<9.64E-54
MCUR1	0.548695	<5.33E-54	<9.64E-54
POLDIP2	0.548627	<5.33E-54	<9.64E-54
NUP43	0.548618	<5.33E-54	<9.64E-54
KDM3B	0.5486	<5.33E-54	<9.64E-54
AMDHD2	0.548543	<5.33E-54	<9.64E-54
RAN	0.54831	<5.33E-54	<9.64E-54
PIN1	0.548194	<5.33E-54	<9.64E-54
PHF3	0.548033	<5.33E-54	<9.64E-54
ARID2	0.548012	<5.33E-54	<9.64E-54
CHST14	0.548	<5.33E-54	<9.64E-54
HS2ST1	0.547761	<5.33E-54	<9.64E-54
MBOAT7	0.547704	<5.33E-54	<9.64E-54
ABHD3	0.547618	<5.33E-54	<9.64E-54
CAD	0.547612	<5.33E-54	<9.64E-54
TERF2	0.547582	<5.33E-54	<9.64E-54
FAM185A	0.547492	<5.33E-54	<9.64E-54
DNPEP	0.547215	<5.33E-54	<9.64E-54
PPIC	0.547182	<5.33E-54	<9.64E-54
POGZ	0.546916	<5.33E-54	<9.64E-54
ADH5	0.546722	<5.33E-54	<9.64E-54
SCAMP1	0.546647	<5.33E-54	<9.64E-54
ASPSCR1	0.546641	<5.33E-54	<9.64E-54
CTBS	0.5466	<5.33E-54	<9.64E-54
EML4	0.5466	<5.33E-54	<9.64E-54
SEL1L	0.546585	<5.33E-54	<9.64E-54
MDH1	0.546546	<5.33E-54	<9.64E-54
PSMD9	0.546543	<5.33E-54	<9.64E-54
NRAS	0.546403	<5.33E-54	<9.64E-54
SEC16A	0.546253	<5.33E-54	<9.64E-54
RBM4	0.546226	<5.33E-54	<9.64E-54
DDX31	0.546065	<5.33E-54	<9.64E-54
GTF2I	0.545985	<5.33E-54	<9.64E-54
SLC25A5	0.545919	<5.33E-54	<9.64E-54
RB1CC1	0.545901	<5.33E-54	<9.64E-54
GRWD1	0.545773	<5.33E-54	<9.64E-54
DCP1A	0.545716	<5.33E-54	<9.64E-54
IRGQ	0.54571	<5.33E-54	<9.64E-54
TTC37	0.545576	<5.33E-54	<9.64E-54
RSL1D1	0.545468	<5.33E-54	<9.64E-54
KHSRP	0.545388	<5.33E-54	<9.64E-54
EHMT2	0.545158	<5.33E-54	<9.64E-54
TRAF2	0.544722	<5.33E-54	<9.64E-54
ZFAND1	0.544722	<5.33E-54	<9.64E-54
MARCO	0.544691	1.15e-13	2.05e-13
LPA	0.544638	<5.33E-54	<9.64E-54
CPNE3	0.544572	<5.33E-54	<9.64E-54
SAE1	0.544396	<5.33E-54	<9.64E-54
IRF2BPL	0.544358	<5.33E-54	<9.64E-54
SYPL1	0.544128	<5.33E-54	<9.64E-54
MAPK1	0.544035	<5.33E-54	<9.64E-54
SERPINA4	0.544026	<5.33E-54	<9.64E-54
PURB	0.543957	<5.33E-54	<9.64E-54
LARP4	0.543895	<5.33E-54	<9.64E-54
PNKD	0.543883	<5.33E-54	<9.64E-54
MRRF	0.543683	<5.33E-54	<9.64E-54
POP1	0.543638	<5.33E-54	<9.64E-54
RALGAPA2	0.543519	<5.33E-54	<9.64E-54
NELFE	0.54348	<5.33E-54	<9.64E-54
PTPRK	0.543372	<5.33E-54	<9.64E-54
ATPAF2	0.543289	<5.33E-54	<9.64E-54
GCAT	0.543274	<5.33E-54	<9.64E-54
CD151	0.543256	<5.33E-54	<9.64E-54
NAP1L1	0.543238	<5.33E-54	<9.64E-54
SPCS3	0.543232	<5.33E-54	<9.64E-54
CUL5	0.543223	<5.33E-54	<9.64E-54
BCL10	0.54322	<5.33E-54	<9.64E-54
ARPC1B	0.543172	<5.33E-54	<9.64E-54
NT5C2	0.543116	<5.33E-54	<9.64E-54
GPAM	0.54308	<5.33E-54	<9.64E-54
ACBD3	0.543014	<5.33E-54	<9.64E-54
GAB1	0.542781	<5.33E-54	<9.64E-54
TAOK2	0.542677	1.48e-13	2.62e-13
PHF6	0.54265	<5.33E-54	<9.64E-54
RSPRY1	0.542644	1.48e-13	2.63e-13
TFCP2	0.542626	<5.33E-54	<9.64E-54
MTM1	0.542581	<5.33E-54	<9.64E-54
SNX18	0.542444	<5.33E-54	<9.64E-54
STAB2	0.542364	1.54e-13	2.72e-13
RAB43	0.542342	<5.33E-54	<9.64E-54
NCF2	0.542333	<5.33E-54	<9.64E-54
DPH5	0.542286	<5.33E-54	<9.64E-54
MCMBP	0.542283	<5.33E-54	<9.64E-54
LRBA	0.542208	<5.33E-54	<9.64E-54
CTU2	0.541901	<5.33E-54	<9.64E-54
RAB14	0.541823	<5.33E-54	<9.64E-54
PON2	0.541802	<5.33E-54	<9.64E-54
IGFBP7	0.541626	<5.33E-54	<9.64E-54
CD163	0.541575	<5.33E-54	<9.64E-54
NUTF2	0.541557	<5.33E-54	<9.64E-54
CYB5R1	0.541375	<5.33E-54	<9.64E-54
PRPS1	0.541193	<5.33E-54	<9.64E-54
TXNDC12	0.541193	<5.33E-54	<9.64E-54
C17orf75	0.541151	<5.33E-54	<9.64E-54
KATNB1	0.541145	<5.33E-54	<9.64E-54
PTPN9	0.541014	<5.33E-54	<9.64E-54
HAT1	0.540936	<5.33E-54	<9.64E-54
ABTB2	0.540814	<5.33E-54	<9.64E-54
DDX42	0.540763	<5.33E-54	<9.64E-54
PEX19	0.540694	<5.33E-54	<9.64E-54
UBE2N	0.540682	<5.33E-54	<9.64E-54
NPEPL1	0.540462	<5.33E-54	<9.64E-54
RAB7A	0.540408	<5.33E-54	<9.64E-54
TPP1	0.540381	<5.33E-54	<9.64E-54
NGLY1	0.540312	<5.33E-54	<9.64E-54
STOML2	0.540241	<5.33E-54	<9.64E-54
FARP2	0.540023	<5.33E-54	<9.64E-54
COL4A3BP	0.540008	<5.33E-54	<9.64E-54
HSPD1	0.539966	<5.33E-54	<9.64E-54
RANGAP1	0.539957	<5.33E-54	<9.64E-54
PIP4K2A	0.539909	<5.33E-54	<9.64E-54
METTL16	0.539897	<5.33E-54	<9.64E-54
NUP160	0.539832	<5.33E-54	<9.64E-54
TRMT1	0.539679	<5.33E-54	<9.64E-54
PDCD6	0.539676	<5.33E-54	<9.64E-54
TBC1D2	0.539527	<5.33E-54	<9.64E-54
WDR46	0.539509	<5.33E-54	<9.64E-54
TCERG1	0.539476	<5.33E-54	<9.64E-54
CUL4B	0.539429	<5.33E-54	<9.64E-54
NONO	0.539375	<5.33E-54	<9.64E-54
FAM98C	0.53933	<5.33E-54	<9.64E-54
POLE3	0.539324	<5.33E-54	<9.64E-54
PNKP	0.539321	<5.33E-54	<9.64E-54
HDAC2	0.539232	<5.33E-54	<9.64E-54
IARS2	0.539029	<5.33E-54	<9.64E-54
NPLOC4	0.538918	<5.33E-54	<9.64E-54
TOM1	0.53879	<5.33E-54	<9.64E-54
SLC25A1	0.538727	<5.33E-54	<9.64E-54
CPQ	0.538709	<5.33E-54	<9.64E-54
SMAD3	0.538673	<5.33E-54	<9.64E-54
ADPRHL2	0.538631	<5.33E-54	<9.64E-54
CLPTM1	0.53842	<5.33E-54	<9.64E-54
PAFAH1B1	0.538405	<5.33E-54	<9.64E-54
PDE4DIP	0.538342	<5.33E-54	<9.64E-54
FLAD1	0.538318	<5.33E-54	<9.64E-54
VTI1B	0.538249	<5.33E-54	<9.64E-54
TAF2	0.538049	<5.33E-54	<9.64E-54
APEX1	0.53787	<5.33E-54	<9.64E-54
APIP	0.537867	<5.33E-54	<9.64E-54
GLYR1	0.537763	<5.33E-54	<9.64E-54
LRRC8A	0.53776	<5.33E-54	<9.64E-54
BRIX1	0.537748	<5.33E-54	<9.64E-54
AGPAT1	0.537739	<5.33E-54	<9.64E-54
AHCYL1	0.537646	<5.33E-54	<9.64E-54
IBA57	0.537596	<5.33E-54	<9.64E-54
RPA2	0.537566	<5.33E-54	<9.64E-54
OXSR1	0.537381	<5.33E-54	<9.64E-54
DSTN	0.537309	<5.33E-54	<9.64E-54
CALD1	0.537201	<5.33E-54	<9.64E-54
NOL3	0.53719	<5.33E-54	<9.64E-54
OSBPL11	0.53716	<5.33E-54	<9.64E-54
RABEP1	0.537085	<5.33E-54	<9.64E-54
LIG3	0.536885	<5.33E-54	<9.64E-54
EPRS	0.536867	<5.33E-54	<9.64E-54
AFG3L2	0.536682	<5.33E-54	<9.64E-54
ABHD11	0.536637	<5.33E-54	<9.64E-54
PTRH2	0.536586	<5.33E-54	<9.64E-54
FHIT	0.536506	<5.33E-54	<9.64E-54
DHX37	0.536503	<5.33E-54	<9.64E-54
TLN2	0.536434	<5.33E-54	<9.64E-54
ILKAP	0.536389	<5.33E-54	<9.64E-54
PTRHD1	0.53636	<5.33E-54	<9.64E-54
MST1	0.536324	<5.33E-54	<9.64E-54
SART3	0.536297	<5.33E-54	<9.64E-54
USP6NL	0.536258	<5.33E-54	<9.64E-54
SEC31A	0.536195	<5.33E-54	<9.64E-54
SFT2D2	0.536183	<5.33E-54	<9.64E-54
SASH1	0.536148	<5.33E-54	<9.64E-54
RHOG	0.535974	<5.33E-54	<9.64E-54
A2M	0.535951	<5.33E-54	<9.64E-54
SLC3A2	0.53593	<5.33E-54	<9.64E-54
DHFR	0.535819	<5.33E-54	<9.64E-54
FIS1	0.535739	<5.33E-54	<9.64E-54
GPKOW	0.535664	<5.33E-54	<9.64E-54
CORO1C	0.535616	<5.33E-54	<9.64E-54
ARID1B	0.535294	<5.33E-54	<9.64E-54
PSD3	0.535201	<5.33E-54	<9.64E-54
AZGP1	0.535106	<5.33E-54	<9.64E-54
OTUD6B	0.534962	<5.33E-54	<9.64E-54
NADSYN1	0.534819	<5.33E-54	<9.64E-54
MARVELD2	0.534706	<5.33E-54	<9.64E-54
BAZ1B	0.534544	<5.33E-54	<9.64E-54
RFT1	0.534455	<5.33E-54	<9.64E-54
PCIF1	0.534377	<5.33E-54	<9.64E-54
TINAGL1	0.5343	<5.33E-54	<9.64E-54
GIT1	0.534291	<5.33E-54	<9.64E-54
GOSR2	0.534183	<5.33E-54	<9.64E-54
PHAX	0.534082	<5.33E-54	<9.64E-54
CHCHD4	0.534007	<5.33E-54	<9.64E-54
FLNB	0.533813	<5.33E-54	<9.64E-54
SRPK2	0.533732	<5.33E-54	<9.64E-54
WDR41	0.533703	<5.33E-54	<9.64E-54
SCRN3	0.533604	<5.33E-54	<9.64E-54
PIP4K2C	0.53347	<5.33E-54	<9.64E-54
NCK1	0.533255	<5.33E-54	<9.64E-54
DERL2	0.533237	<5.33E-54	<9.64E-54
RDX	0.533088	<5.33E-54	<9.64E-54
ZZEF1	0.532879	<5.33E-54	<9.64E-54
KRT18	0.532637	<5.33E-54	<9.64E-54
TGFB1I1	0.532535	<5.33E-54	<9.64E-54
WDR45B	0.532505	<5.33E-54	<9.64E-54
SMARCD1	0.532437	<5.33E-54	<9.64E-54
SPARC	0.532431	<5.33E-54	<9.64E-54
GOLGA7	0.532278	<5.33E-54	<9.64E-54
NAGLU	0.532273	<5.33E-54	<9.64E-54
LONP2	0.532237	<5.33E-54	<9.64E-54
ATP13A3	0.532234	<5.33E-54	<9.64E-54
SEPT8	0.531989	<5.33E-54	<9.64E-54
HSPA5	0.531977	<5.33E-54	<9.64E-54
AIP	0.531965	<5.33E-54	<9.64E-54
TRAPPC6B	0.531786	<5.33E-54	<9.64E-54
NRP1	0.531765	<5.33E-54	<9.64E-54
EPS8L2	0.53175	<5.33E-54	<9.64E-54
NOS1AP	0.531687	<5.33E-54	<9.64E-54
CFI	0.531616	<5.33E-54	<9.64E-54
MB	0.531578	5.62e-13	9.94e-13
ATOX1	0.531574	<5.33E-54	<9.64E-54
HNRNPU	0.531574	<5.33E-54	<9.64E-54
NTMT1	0.531314	<5.33E-54	<9.64E-54
KLC1	0.531311	<5.33E-54	<9.64E-54
GCSH	0.531114	<5.33E-54	<9.64E-54
EPN1	0.530971	<5.33E-54	<9.64E-54
RIF1	0.530741	<5.33E-54	<9.64E-54
CSPG4	0.530729	<5.33E-54	<9.64E-54
PAK1IP1	0.530705	<5.33E-54	<9.64E-54
PTRH1	0.530639	<5.33E-54	<9.64E-54
ZBTB20	0.53041	<5.33E-54	<9.64E-54
CCDC137	0.530317	<5.33E-54	<9.64E-54
THOC2	0.530248	<5.33E-54	<9.64E-54
TPCN1	0.53003	<5.33E-54	<9.64E-54
TMEM161A	0.529956	<5.33E-54	<9.64E-54
ADNP	0.529836	<5.33E-54	<9.64E-54
AP1G1	0.529774	<5.33E-54	<9.64E-54
KIAA1147	0.529669	<5.33E-54	<9.64E-54
PRKACA	0.529669	<5.33E-54	<9.64E-54
BCR	0.529568	<5.33E-54	<9.64E-54
TRMT1L	0.52949	<5.33E-54	<9.64E-54
COMTD1	0.529487	<5.33E-54	<9.64E-54
SLC30A5	0.529317	<5.33E-54	<9.64E-54
CDC42EP1	0.529144	<5.33E-54	<9.64E-54
PEX16	0.529039	<5.33E-54	<9.64E-54
XPO6	0.528997	<5.33E-54	<9.64E-54
CYB5B	0.528986	<5.33E-54	<9.64E-54
HDAC4	0.528959	<5.33E-54	<9.64E-54
FOXK1	0.528854	<5.33E-54	<9.64E-54
CASP9	0.528768	<5.33E-54	<9.64E-54
SNUPN	0.528717	<5.33E-54	<9.64E-54
PSME1	0.528687	<5.33E-54	<9.64E-54
ZNF787	0.528684	<5.33E-54	<9.64E-54
BRD4	0.528529	<5.33E-54	<9.64E-54
DHPS	0.528424	<5.33E-54	<9.64E-54
PTPN3	0.528296	<5.33E-54	<9.64E-54
UQCC1	0.528117	<5.33E-54	<9.64E-54
KIAA0391	0.52783	<5.33E-54	<9.64E-54
HNRNPH3	0.527738	<5.33E-54	<9.64E-54
GORASP2	0.527717	<5.33E-54	<9.64E-54
CEP170B	0.5276	<5.33E-54	<9.64E-54
TLE1	0.527576	<5.33E-54	<9.64E-54
RNF114	0.527466	<5.33E-54	<9.64E-54
MAGI1	0.527263	<5.33E-54	<9.64E-54
RDH11	0.527018	<5.33E-54	<9.64E-54
STX17	0.526947	<5.33E-54	<9.64E-54
TBC1D20	0.526866	<5.33E-54	<9.64E-54
NRM	0.526648	<5.33E-54	<9.64E-54
NOB1	0.526579	<5.33E-54	<9.64E-54
MFGE8	0.526555	<5.33E-54	<9.64E-54
A1CF	0.526511	<5.33E-54	<9.64E-54
ANG	0.526334	<5.33E-54	<9.64E-54
TMEM214	0.525984	1.08e-12	1.91e-12
PHF2	0.525958	<5.33E-54	<9.64E-54
STX11	0.52594	<5.33E-54	<9.64E-54
ACAD10	0.525624	<5.33E-54	<9.64E-54
EGFL7	0.525624	<5.33E-54	<9.64E-54
CDC40	0.525585	<5.33E-54	<9.64E-54
ABCF3	0.525531	<5.33E-54	<9.64E-54
GMPPB	0.525505	<5.33E-54	<9.64E-54
DIS3L2	0.525403	<5.33E-54	<9.64E-54
CCDC91	0.525349	<5.33E-54	<9.64E-54
STAG2	0.525149	<5.33E-54	<9.64E-54
MTMR9	0.52511	<5.33E-54	<9.64E-54
IKBKG	0.525104	<5.33E-54	<9.64E-54
RECQL	0.524821	<5.33E-54	<9.64E-54
VDAC2	0.524681	<5.33E-54	<9.64E-54
DCUN1D5	0.524663	<5.33E-54	<9.64E-54
NARFL	0.524433	<5.33E-54	<9.64E-54
DNAJC11	0.5244	<5.33E-54	<9.64E-54
GOSR1	0.52434	<5.33E-54	<9.64E-54
ACTN4	0.524233	<5.33E-54	<9.64E-54
EHD1	0.524188	<5.33E-54	<9.64E-54
LASP1	0.524107	<5.33E-54	<9.64E-54
BST1	0.524039	<5.33E-54	<9.64E-54
LARS2	0.523946	<5.33E-54	<9.64E-54
CYP20A1	0.52383	<5.33E-54	<9.64E-54
ITGB5	0.523809	<5.33E-54	<9.64E-54
EWSR1	0.523737	<5.33E-54	<9.64E-54
C1orf226	0.523689	<5.33E-54	<9.64E-54
NMI	0.523639	<5.33E-54	<9.64E-54
ASAP1	0.523448	<5.33E-54	<9.64E-54
NR2C2AP	0.523355	<5.33E-54	<9.64E-54
WDR33	0.523176	<5.33E-54	<9.64E-54
ZNF830	0.523024	<5.33E-54	<9.64E-54
NFKB1	0.523018	<5.33E-54	<9.64E-54
KIAA1143	0.522928	<5.33E-54	<9.64E-54
C1GALT1	0.522877	<5.33E-54	<9.64E-54
TMEM63B	0.522647	<5.33E-54	<9.64E-54
ECE2	0.522498	<5.33E-54	<9.64E-54
ITGB3	0.522467	1.62e-12	2.86e-12
CTIF	0.522427	<5.33E-54	<9.64E-54
UNC45A	0.522227	<5.33E-54	<9.64E-54
SAR1B	0.522173	<5.33E-54	<9.64E-54
C1orf122	0.522143	<5.33E-54	<9.64E-54
CP	0.522131	<5.33E-54	<9.64E-54
ATXN10	0.522113	<5.33E-54	<9.64E-54
SLC38A2	0.52211	<5.33E-54	<9.64E-54
ZCCHC17	0.52208	<5.33E-54	<9.64E-54
PPA2	0.522062	<5.33E-54	<9.64E-54
NME7	0.522059	<5.33E-54	<9.64E-54
NIF3L1	0.521776	<5.33E-54	<9.64E-54
ARHGEF17	0.521662	<5.33E-54	<9.64E-54
PDE6D	0.5216	<5.33E-54	<9.64E-54
TSPAN6	0.520949	<5.33E-54	<9.64E-54
BOD1L1	0.520934	<5.33E-54	<9.64E-54
PAN2	0.520755	<5.33E-54	<9.64E-54
RHOB	0.520743	<5.33E-54	<9.64E-54
STX8	0.520337	<5.33E-54	<9.64E-54
LRRC59	0.52019	<5.33E-54	<9.64E-54
CASK	0.520068	<5.33E-54	<9.64E-54
MTCH2	0.519898	<5.33E-54	<9.64E-54
TBC1D2B	0.519743	<5.33E-54	<9.64E-54
SLC46A1	0.519686	<5.33E-54	<9.64E-54
GMPR2	0.519608	<5.33E-54	<9.64E-54
ACP2	0.519369	<5.33E-54	<9.64E-54
FAM118B	0.519337	<5.33E-54	<9.64E-54
CASP10	0.519322	<5.33E-54	<9.64E-54
EPB41	0.519283	<5.33E-54	<9.64E-54
CRNKL1	0.519226	<5.33E-54	<9.64E-54
ZNF326	0.519041	<5.33E-54	<9.64E-54
GNPNAT1	0.519002	<5.33E-54	<9.64E-54
U2SURP	0.518975	<5.33E-54	<9.64E-54
PPP1R12B	0.518889	<5.33E-54	<9.64E-54
UBR1	0.518886	<5.33E-54	<9.64E-54
ZC3H18	0.518883	<5.33E-54	<9.64E-54
FAM98A	0.51879	<5.33E-54	<9.64E-54
NCOR1	0.518743	<5.33E-54	<9.64E-54
MTG2	0.518572	<5.33E-54	<9.64E-54
ATP11A	0.518554	<5.33E-54	<9.64E-54
CRTC2	0.518528	<5.33E-54	<9.64E-54
ITM2B	0.518363	<5.33E-54	<9.64E-54
GSS	0.517975	<5.33E-54	<9.64E-54
FCN1	0.517722	2.78e-12	4.9e-12
SCFD1	0.517707	<5.33E-54	<9.64E-54
LRG1	0.517638	<5.33E-54	<9.64E-54
LARP4B	0.517632	<5.33E-54	<9.64E-54
MTMR12	0.517554	<5.33E-54	<9.64E-54
HPCAL1	0.517495	<5.33E-54	<9.64E-54
PPP5C	0.517468	<5.33E-54	<9.64E-54
MKL2	0.517277	<5.33E-54	<9.64E-54
FBXO38	0.51722	<5.33E-54	<9.64E-54
OTUD4	0.517047	<5.33E-54	<9.64E-54
SFSWAP	0.51702	<5.33E-54	<9.64E-54
GATAD2B	0.516906	<5.33E-54	<9.64E-54
PLS3	0.516674	<5.33E-54	<9.64E-54
OSBP	0.516653	<5.33E-54	<9.64E-54
MGME1	0.516387	3.23e-12	5.68e-12
MON1B	0.516303	<5.33E-54	<9.64E-54
RAVER1	0.516286	<5.33E-54	<9.64E-54
CCNY	0.516184	<5.33E-54	<9.64E-54
GNG2	0.51616	<5.33E-54	<9.64E-54
PRRC1	0.51613	<5.33E-54	<9.64E-54
C11orf68	0.515945	<5.33E-54	<9.64E-54
PGAM5	0.515903	<5.33E-54	<9.64E-54
ACBD6	0.515869	3.43e-12	6.02e-12
RPUSD3	0.515766	<5.33E-54	<9.64E-54
DNAJC16	0.515408	<5.33E-54	<9.64E-54
WDFY1	0.515393	<5.33E-54	<9.64E-54
DCK	0.515375	<5.33E-54	<9.64E-54
MAP4K3	0.515121	<5.33E-54	<9.64E-54
MTRR	0.514891	<5.33E-54	<9.64E-54
CYGB	0.514814	<5.33E-54	<9.64E-54
USP14	0.514799	<5.33E-54	<9.64E-54
EDC3	0.514667	<5.33E-54	<9.64E-54
SEPHS1	0.514581	<5.33E-54	<9.64E-54
GGA2	0.514506	<5.33E-54	<9.64E-54
PRPSAP1	0.514342	<5.33E-54	<9.64E-54
TMEM109	0.514157	<5.33E-54	<9.64E-54
DYRK1A	0.514094	<5.33E-54	<9.64E-54
ACOT9	0.514014	<5.33E-54	<9.64E-54
PALD1	0.513963	<5.33E-54	<9.64E-54
GRB10	0.513915	<5.33E-54	<9.64E-54
ZFP36L1	0.513829	<5.33E-54	<9.64E-54
DCAF6	0.51382	<5.33E-54	<9.64E-54
RAB10	0.513799	<5.33E-54	<9.64E-54
KIN	0.513694	<5.33E-54	<9.64E-54
DDX18	0.513631	<5.33E-54	<9.64E-54
TPRN	0.513626	<5.33E-54	<9.64E-54
GALNT1	0.513605	<5.33E-54	<9.64E-54
EPM2AIP1	0.51353	<5.33E-54	<9.64E-54
SLC15A4	0.513425	<5.33E-54	<9.64E-54
LEMD3	0.513273	<5.33E-54	<9.64E-54
MIF4GD	0.513193	<5.33E-54	<9.64E-54
RRP1	0.513169	<5.33E-54	<9.64E-54
SMARCAL1	0.51307	<5.33E-54	<9.64E-54
NBEAL2	0.513025	<5.33E-54	<9.64E-54
STK25	0.513002	<5.33E-54	<9.64E-54
