gene	spearman	p	q
LPIN2	0.638016	<5.33E-54	<9.64E-54
REXO4	0.637996	<5.33E-54	<9.64E-54
TALDO1	0.637948	<5.33E-54	<9.64E-54
MTA3	0.637822	<5.33E-54	<9.64E-54
PPP6R2	0.63781	<5.33E-54	<9.64E-54
PML	0.637793	<5.33E-54	<9.64E-54
RNF170	0.637569	<5.33E-54	<9.64E-54
PPP2R1B	0.63739	<5.33E-54	<9.64E-54
EHBP1L1	0.637357	<5.33E-54	<9.64E-54
PLEKHF2	0.637219	<5.33E-54	<9.64E-54
DHX9	0.637216	<5.33E-54	<9.64E-54
ESD	0.637028	<5.33E-54	<9.64E-54
HNRNPA1	0.636658	<5.33E-54	<9.64E-54
ENPP1	0.63661	<5.33E-54	<9.64E-54
CDC42BPB	0.636586	<5.33E-54	<9.64E-54
ATAD3A	0.63644	<5.33E-54	<9.64E-54
BTK	0.636392	<5.33E-54	<9.64E-54
FAHD1	0.636171	<5.33E-54	<9.64E-54
UBE2K	0.636171	<5.33E-54	<9.64E-54
ITPKC	0.636166	<5.33E-54	<9.64E-54
CLPP	0.636082	<5.33E-54	<9.64E-54
ADAP2	0.635888	<5.33E-54	<9.64E-54
MCAM	0.63587	<5.33E-54	<9.64E-54
SLC25A22	0.635852	<5.33E-54	<9.64E-54
PPIF	0.635804	<5.33E-54	<9.64E-54
MGAT2	0.635739	<5.33E-54	<9.64E-54
PSMG1	0.635545	<5.33E-54	<9.64E-54
SORBS3	0.635482	<5.33E-54	<9.64E-54
TP53BP1	0.63538	<5.33E-54	<9.64E-54
HYI	0.635377	<5.33E-54	<9.64E-54
PDK2	0.63533	<5.33E-54	<9.64E-54
KPNA6	0.635312	<5.33E-54	<9.64E-54
ASNA1	0.635198	<5.33E-54	<9.64E-54
SLK	0.6351	<5.33E-54	<9.64E-54
TLR3	0.635028	<5.33E-54	<9.64E-54
VAV2	0.634861	<5.33E-54	<9.64E-54
ACADVL	0.634855	<5.33E-54	<9.64E-54
ARL15	0.634697	<5.33E-54	<9.64E-54
DNM2	0.634532	<5.33E-54	<9.64E-54
FRMD4A	0.634425	<5.33E-54	<9.64E-54
DOCK10	0.634064	<5.33E-54	<9.64E-54
LTBP2	0.634019	<5.33E-54	<9.64E-54
HABP2	0.633894	<5.33E-54	<9.64E-54
SLC27A1	0.633855	<5.33E-54	<9.64E-54
TSN	0.633822	<5.33E-54	<9.64E-54
ARHGDIB	0.633697	<5.33E-54	<9.64E-54
ABCG5	0.633634	<5.33E-54	<9.64E-54
CLASP2	0.633559	<5.33E-54	<9.64E-54
SSRP1	0.633538	<5.33E-54	<9.64E-54
SSFA2	0.633464	<5.33E-54	<9.64E-54
FABP5	0.633365	<5.33E-54	<9.64E-54
SORBS1	0.633252	<5.33E-54	<9.64E-54
SUSD2	0.633171	<5.33E-54	<9.64E-54
UAP1	0.632974	<5.33E-54	<9.64E-54
PARP10	0.632822	<5.33E-54	<9.64E-54
C2orf72	0.63278	<5.33E-54	<9.64E-54
GPATCH1	0.632777	<5.33E-54	<9.64E-54
TNXB	0.63272	<5.33E-54	<9.64E-54
DLST	0.632676	<5.33E-54	<9.64E-54
ARFIP2	0.632658	<5.33E-54	<9.64E-54
CNPY3	0.632652	<5.33E-54	<9.64E-54
GMFG	0.632455	<5.33E-54	<9.64E-54
CAMK2D	0.632398	<5.33E-54	<9.64E-54
MAP1B	0.631861	<5.33E-54	<9.64E-54
PTGFRN	0.63184	<5.33E-54	<9.64E-54
YWHAH	0.63172	<5.33E-54	<9.64E-54
UCHL5	0.631684	<5.33E-54	<9.64E-54
HTATSF1	0.631672	<5.33E-54	<9.64E-54
ZNF706	0.631652	<5.33E-54	<9.64E-54
TPST2	0.631637	<5.33E-54	<9.64E-54
TCEA3	0.631634	<5.33E-54	<9.64E-54
BCAP31	0.631419	<5.33E-54	<9.64E-54
FERMT2	0.631416	<5.33E-54	<9.64E-54
SH3BGRL3	0.631413	<5.33E-54	<9.64E-54
ALAS1	0.631392	<5.33E-54	<9.64E-54
RBBP9	0.631383	<5.33E-54	<9.64E-54
SIPA1L1	0.631168	<5.33E-54	<9.64E-54
GPSM3	0.631117	<5.33E-54	<9.64E-54
NAAA	0.631102	<5.33E-54	<9.64E-54
FLCN	0.63104	<5.33E-54	<9.64E-54
CLPX	0.630926	<5.33E-54	<9.64E-54
GNE	0.630905	<5.33E-54	<9.64E-54
MYADM	0.630897	4.96e-19	8.85e-19
PPP2R2A	0.630842	<5.33E-54	<9.64E-54
